"Date","StateOfOccurrence","Location","Model","Registration","Operator","StateOfOperator","StateOfRegistry","FlightPhase","Class","Fatalities","Over2250","Over5700","ScheduledCommercial","InjuryLevel","TypeDesignator","Helicopter","Airplane","Engines","EngineType","Official","OccCats","Risk","Year"
"""2008-01-10T00:00:00.000Z""","SGP","Changi Airport","AIRBUS A380","9V-SKA","Singapore Singapore Airlines Limited","SGP","SGP","Manoeuvring","Incident",0,true,true,true,"None","A30B",false,true,2,"Jet","","[""ADRM"",""RAMP""]","RS",2008
"""2008-01-11T00:00:00.000Z""","AUS","Brisbane Aerodrome, 195° M 19K","BOEING 737 200","VH-OBN","",,"AUS","Approach","Serious incident",0,true,true,false,"None","B37M",false,true,2,"Jet","","[""OTHR""]","OTH",2008
"""2008-01-11T00:00:00.000Z""","AUS","Cessnock (ALA), 285° M 6Km","KAWASAKI BK117","VH-SLS","","","AUS","En route","Serious incident",0,true,false,"","None","C1",false,true,2,"Jet","","[""MAC""]","OTH",2008
"""2008-01-14T00:00:00.000Z""","DEU","Berlin-Tegel","AIRBUS A300 B2","D-AIAI","Germany Deutsche Lufthansa Aktiengesellschaft","DEU","DEU","Take-off","Incident",0,true,true,true,"None","A343",false,true,4,"Jet","","[""LOC-G""]","RS",2008
"""2008-01-14T00:00:00.000Z""","AUS","Townsville Aerodrome W M 15km","CESSNA 208","VH-PSQ","",,"AUS","En route","Serious incident",0,true,false,"","","C208",false,true,1,"Turboprop","","[""SCF-PP""]","SCF",2008
"""2008-01-15T00:00:00.000Z""","DNK","Aasiaat (BGAA), Greenland","SIKORSKY S61 N","OY-HAF","",,"DNK","Standing","Serious incident",0,true,true,true,"Minor","S38",false,true,2,"Piston","","[""SCF-NP""]","SCF",2008
"""2008-01-15T00:00:00.000Z""","FRA","AD Paris CDG (95)","AIRBUS A300 600","TF-ELW","Iceland Air Atlanta Icelandic","ISL","ISL","Landing","Serious incident",0,true,true,true,"None","A3ST",false,true,2,"Jet","","[""LOC-G"",""RE""]","RS",2008
"""2008-01-15T00:00:00.000Z""","AUS","Sydney Aerodrome","BEECH 200","VH-MVY","","","AUS","En route","Serious incident",0,true,false,"","None","BE20",false,true,2,"Turboprop","","[""OTHR""]","OTH",2008
"""2008-01-17T00:00:00.000Z""","VEN","Calle de Rodaje Letra P","CANADAIR CL600 1A11 600","N249AJ","","","USA","Taxi","Significant incident",0,true,true,true,"None","CL60",false,true,2,"Jet","","[""GCOL""]","RS",2008
"""2008-01-18T00:00:00.000Z""","DEU","Kassel-Calden, Hessen","PIPER PA46 500TP","D-FRAH","","","DEU","","Serious incident",0,false,false,"","None","PA47",false,true,1,"Jet","","[""MAC""]","OTH",2008
"""2008-01-18T00:00:00.000Z""","DEU","Kassel-Calden, Hessen","PIPER PA28 181","D-ELYC"," ","","DEU","En route","Serious incident",0,false,false,"","None","PA47",false,true,1,"Jet","","[""MAC""]","OTH",2008
"""2008-01-18T00:00:00.000Z""","USA","Dutch Harbor","FAIRCHILD","N41NE","",,"USA","Take-off","Serious incident",0,true,true,false,"None","SW3",false,true,2,"Turboprop","","[""SCF-NP""]","SCF",2008
"""2008-01-20T00:00:00.000Z""",,"international waters near alas","BOEING 747 400","HL7417","Korea, South Asiana Airlines","KOR","KOR","En route","Serious incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""SCF-NP"",""FUEL""]","SCF",2008
"""2008-01-21T00:00:00.000Z""","NOR","enroute","FOKKER F27 50","LN-RNG","Norway Sas Scandinavian Airlines Norge As","NOR","NOR","En route","Serious incident",0,true,true,true,"None","F27",false,true,2,"Turboprop","","[""F-NI"",""SCF-PP""]","SCF",2008
"""2008-01-22T00:00:00.000Z""","GBR","Exeter Aiprort","BOMBARDIER BD700 1A10 NO SERIES EXISTS","VP-CRC","Switzerland Jet Club Ltd.",,"CYM","Taxi","Incident",0,true,true,"","None","GL7T",false,true,2,"Jet","","[""RAMP"",""OTHR""]","RS",2008
"""2008-01-23T00:00:00.000Z""","BHS","MYGF","BEECH 1900","N800MX","Bahamas Other","","USA","Take-off","Incident",0,true,true,"","None","B190",false,true,2,"Turboprop","","[""OTHR""]","OTH",2008
"""2008-01-24T00:00:00.000Z""","DEU","München","CESSNA","I-FRAI"," ","","ITA","Landing","Incident",0,true,false,"","None","C210",false,true,1,"Piston","","[""ARC""]","RS",2008
"""2008-01-24T00:00:00.000Z""","JAM","Kingston, 10 N of Tinson Pen","CESSNA 208","6Y-JRG","",,"JAM","En route","Incident",0,true,false,true,"None","C208",false,true,1,"Turboprop","","[""SCF-PP""]","SCF",2008
"""2008-01-25T00:00:00.000Z""","USA","Newark , New Jersey","AIRBUS A320","N462UA","United States United Air Lines Inc.","USA","USA","Take-off","Serious incident",0,true,true,true,"None","A320",false,true,2,"Jet","","[""SCF-NP""]","SCF",2008
"""2008-01-25T00:00:00.000Z""","FRA","AD Mérignac (33)","BOEING 737","TS-IOR","Tunisia Tunis Air - Societe Tunisienne De L'air","TUN","TUN","Landing","Serious incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""OTHR""]","OTH",2008
"""2008-01-26T00:00:00.000Z""","RUS","Chelyabinsk","AIRBUS A319","VP-B?","","","BMU","Landing","Incident",0,true,true,true,"None","A319",false,true,2,"Jet","","[""OTHR""]","OTH",2008
"""2008-01-28T00:00:00.000Z""","IDN","Merauke-Mopah a/p","BOEING 737","PK-MBP","Indonesia Merpati Nusantara Airlines P.t.","IDN","IDN","Landing","Serious incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""WILD""]","OTH",2008
"""2008-01-28T00:00:00.000Z""","USA"," Chicago-Midway Airport, IL (MDW)","DC-9-32","N605NW","Northwest Airlines","USA","USA","Standing","",0,true,true,true,"","TAYD",false,true,1,"Piston","","[]","",2008
"""2008-01-28T00:00:00.000Z""","IRL","MALOT","BOEING 767 300","C-FMXC","Canada Air Canada","CAN","CAN","En route","Serious incident",0,true,true,true,"Unknown","C17",false,true,4,"Jet","","[""OTHR""]","OTH",2008
"""2008-01-29T00:00:00.000Z""","PRT","LPLA","TUPOLEV TU154","LZ-BTZ","Bulgaria Aviodetachment-28","","BGR","Take-off","Serious incident",0,true,true,"","None","T154",false,true,3,"Jet","","[""SCF-NP""]","SCF",2008
"""2008-01-29T00:00:00.000Z""","AUS","Maningrida Airport 255° M 39Km","CESSNA 310","VH-XGX","","","AUS","Take-off","Serious incident",0,true,false,"","None","C310",false,true,2,"Piston","","[""MAC""]","OTH",2008
"""2008-01-29T00:00:00.000Z""","AUS","Maningrida Airport 255° M 39Km","","VH-YZE","","","AUS","En route","Serious incident",0,true,false,"","None","MS30",false,true,1,"Piston","","[""MAC""]","OTH",2008
"""2008-01-30T00:00:00.000Z""","USA","West Palm Beach , Florida","BOEING 757 200","N624AA","",,"USA","En route","Serious incident",0,true,true,true,"Minor","ST75",false,true,1,"Piston","","[""F-NI"",""SCF-NP""]","SCF",2008
"""2008-01-31T00:00:00.000Z""","VEN","Aeródromo de Los Roques","PIPER PA34","YV1817","","","VEN","Taxi","Major incident",0,false,false,true,"None","PA47",false,true,1,"Jet","","[""RAMP""]","RS",2008
"""2008-01-31T00:00:00.000Z""","FIN","Lappeenranta Airport (EFLP)","SAAB 340","OK-CCD","",,"CZE","Landing","Serious incident",0,true,true,true,"None","SF34",false,true,2,"Turboprop","","[""RE"",""ADRM""]","RS",2008
"""2008-01-31T00:00:00.000Z""","NOR","Gardermoen","CANADAIR CL600 1A11 600","OY-RJC","Denmark Cimber A/s","DNK","DNK","Take-off","Serious incident",0,true,true,true,"None","CL60",false,true,2,"Jet","","[""ICE"",""LOC-I""]","LOC-I",2008
"""2008-02-01T00:00:00.000Z""","USA"," Fort Lauderdale-Executive Airport, FL (FXE)","Rockwell Sabreliner 40A","N430MP","ABA Aviation Resources","","USA","Standing","",0,true,true,false,"","SBR1",false,true,2,"Jet","","[]","",2008
"""2008-02-05T00:00:00.000Z""","AGO","Lughawe","BOEING 777 200","D2-TED","Angola Taag, Linhas Aereas De Angola (Angola Airlines)","AGO","AGO","Standing","Incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""OTHR""]","OTH",2008
"""2008-02-06T00:00:00.000Z""","BHS","MYNN","PIPER PA28","N4336X","","","USA","Landing","Incident",0,false,false,"","Unknown","PA47",false,true,1,"Jet","","[""OTHR""]","OTH",2008
"""2008-02-07T00:00:00.000Z""","BHS","MYGF","CESSNA 402","N522FA","","","USA","En route","Incident",0,true,false,"","Unknown","C402",false,true,2,"Piston","","[""FUEL""]","OTH",2008
"""2008-02-07T00:00:00.000Z""","AUS","Tamworth","DE HAVILLAND DHC8 300","VH-TQZ","Australia Eastern Australia Airlines Pty Ltd","AUS","AUS","Take-off","Incident",0,true,true,true,"None","DH60",false,true,1,"Piston","","[""ATM"",""RI""]","RS",2008
"""2008-02-08T00:00:00.000Z""","AUS","near DEBRA (IFR)","SWEARINGEN SA226 TC","VH-WGX","","","AUS","En route","Serious incident",0,true,false,false,"None","SW2",false,true,2,"Turboprop","","[""SCF-NP""]","SCF",2008
"""2008-02-08T00:00:00.000Z""","NZL","Christchurch Airport","BAE JETSTREAM3100","ZK-ECN","Air National, opf. Air New Zealand","NZL","NZL","En route","Serious incident",0,true,true,true,"Minor","JS32",false,true,2,"Turboprop","","[""SEC""]","OTH",2008
"""2008-02-08T00:00:00.000Z""","UZB","Tashkent","ILYUSHIN IL62 M","UN-86508","","","KAZ","Approach","Incident",0,true,true,"","None","IL62",false,true,4,"Jet","","[""ARC""]","RS",2008
"""2008-02-08T00:00:00.000Z""","BOL","La Paz Alto Airport","BOEING 727 200","CP-2462","Bolivia Aerosur, Compania Boliviana De Transporte Aereo Privado S.A.","BOL","BOL","Landing","Serious incident",0,true,true,true,"None","R722",false,true,3,"Jet","","[""RE""]","RS",2008
"""2008-02-09T00:00:00.000Z""","BRA","Brasilia SBBR","BOEING 707","PP-BRG","","","BRA","Take-off","Serious incident",0,true,true,false,"None","B37M",false,true,2,"Jet","","[""SCF-NP""]","SCF",2008
"""2008-02-10T00:00:00.000Z""","PER","Cusco, Velasco Astete a/p","BOEING 737 200","OB-1843-P","Peru Aerocondor S.A.","PER","PER","Take-off","Incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""SCF-PP""]","SCF",2008
"""2008-02-10T00:00:00.000Z""","BHS","MYEF","DE HAVILLAND DHC8 300","C6-BFP","Bahamas Bahamasair Holdings Ltd.","BHS","BHS","Approach","Incident",0,true,true,true,"None","DH85",false,true,1,"Piston","","[""MAC""]","OTH",2008
"""2008-02-11T00:00:00.000Z""","BRA","10 NM from Santo Angelo","LET L410 UVPE","PR-NHC","",,"BRA","En route","Serious incident",0,true,true,true,"None","L410",false,true,2,"Turboprop","","[""FUEL""]","OTH",2008
"""2008-02-11T00:00:00.000Z""","AUS","Jabiru (ALA)","BEECH 1900","VH-VAZ","","","AUS","Take-off","Incident",0,true,true,false,"None","B190",false,true,2,"Turboprop","","[""SCF-PP""]","SCF",2008
"""2008-02-11T00:00:00.000Z""","BHS","MYGF","CESSNA 402","C6-AUD","","","BHS","Unknown","Incident",0,true,false,"","Unknown","C402",false,true,2,"Piston","","[""OTHR""]","OTH",2008
"""2008-02-11T00:00:00.000Z""","ESP","Valencia a/p","","EC-KLL"," ","","ESP","Taxi","Incident",0,true,true,"","None","MS30",false,true,1,"Piston","","[""GCOL""]","RS",2008
"""2008-02-11T00:00:00.000Z""","ESP","Valencia a/p","DE HAVILLAND DHC8 300","PH-DMQ","","","NLD","Taxi","Incident",0,true,true,true,"None","HERN",false,true,4,"Piston","","[""GCOL""]","RS",2008
"""2008-02-12T00:00:00.000Z""","VEN","Entre Pista 09 y F en SVMQ","MCDONNELL DOUGLAS","YV298T","Venezuela Aeroservicios Carabobo, C.a. (Aserca)","VEN","VEN","Taxi","Major incident",0,true,true,true,"Serious","F15",false,true,2,"Jet","","[""SCF-PP""]","SCF",2008
"""2008-02-12T00:00:00.000Z""","QAT","Doha","LEARJET 60","OE-GII","","","AUT","Approach","Incident",0,true,true,"","None","LJ60",false,true,2,"Jet","","[""SCF-NP""]","SCF",2008
"""2008-02-12T00:00:00.000Z""","FIN","Lappeenranta Airport","SAAB 340","OK-CCD","",,"CZE","Taxi","Incident",0,true,true,true,"None","SF34",false,true,2,"Turboprop","","[""GCOL"",""SCF-NP""]","RS",2008
"""2008-02-12T00:00:00.000Z""","AUS","Thangool Qld","FAIRCHILD","VH-UZD","Australia Jetcraft Aviation",,"AUS","Landing","Incident",0,true,true,false,"None","SW3",false,true,2,"Turboprop","","[""RE""]","RS",2008
"""2008-02-13T00:00:00.000Z""","USA","Hilo","CANADAIR","N651BR","",,"USA","En route","Serious incident",0,true,true,true,"None","CRJ7",false,true,2,"Jet","","[""OTHR""]","OTH",2008
"""2008-02-13T00:00:00.000Z""","FIN","Helsinki","BOEING 737","UR-GAU","","","UKR","Landing","Serious incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""ARC""]","RS",2008
"""2008-02-15T00:00:00.000Z""","BHS","MYBG","PIPER PA34","N212ML","","","USA","Taxi","Incident",0,false,false,"","Unknown","PA47",false,true,1,"Jet","","[""GCOL""]","RS",2008
"""2008-02-15T00:00:00.000Z""","VEN","Finca Rincón Bonito","CESSNA T41","YV-129E","",,"VEN","En route","Major incident",0,true,false,true,"None","C172",false,true,1,"Piston","","[""SCF-PP""]","SCF",2008
"""2008-02-16T00:00:00.000Z""","JPN","On the RUNWAY 01R  of RJCC","BOEING 747 400","JA8904","Japan Japan Air Lines","JPN","JPN","Take-off","Serious incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""RI"",""ADRM""]","RS",2008
"""2008-02-16T00:00:00.000Z""","BHS","MYEH","BEECH 50","N92HB","","","USA","En route","Incident",0,true,false,"","Minor","BE50",false,true,2,"Piston","","[""SCF-PP""]","SCF",2008
"""2008-02-16T00:00:00.000Z""","JPN","On the RUNWAY 01R  of RJCC","MCDONNELL DOUGLAS MD90 30","JA???","Japan Japan Air Lines","JPN","JPN","Landing","Serious incident",0,true,true,true,"None","MD90",false,true,2,"Jet","","[""RI"",""ADRM""]","RS",2008
"""2008-02-17T00:00:00.000Z""",,"Ottawa a/p","BOEING 737","C-GLWS","Canada Westjet Airlines Ltd","CAN","CAN","Landing","Serious incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""RE""]","RS",2008
"""2008-02-17T00:00:00.000Z""","KOR","Southwest 60 NM from RKPC","BOEING 737","HL7513","Korea, South Asiana Airlines","KOR","KOR","En route","Serious incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""ATM""]","OTH",2008
"""2008-02-18T00:00:00.000Z""","IND","Sagar Samrat Platform","","VT-AZI","","","IND","Approach","Serious incident",0,true,false,"","None","SJET",false,true,1,"Jet","","[""OTHR""]","OTH",2008
"""2008-02-18T00:00:00.000Z""","USA","Austin","MCDONNELL DOUGLAS","N935DL","United States Delta Air Lines, Inc.","USA","USA","Approach","Serious incident",0,true,true,true,"None","DC93",false,true,2,"Jet","","[""BIRD""]","RS",2008
"""2008-02-18T00:00:00.000Z""","ARE","Ras al Khaimah","ILYUSHIN IL76","RA-76366","Volga-Dnepr",,"RUS","Approach","Serious incident",0,true,true,false,"","IL76",false,true,4,"Jet","","[""SCF-PP"",""F-NI""]","SCF",2008
"""2008-02-18T00:00:00.000Z""","USA","Moline , Illinois","BEECH 99","N118SF","",,"USA","En route","Serious incident",0,true,false,false,"None","BE99",false,true,2,"Turboprop","","[""F-NI"",""SCF-NP""]","SCF",2008
"""2008-02-20T00:00:00.000Z""","KOR","Jeju INTL' Airport","BOEING 737","HL7232","Korea, South Asiana Airlines","KOR","KOR","Take-off","Significant incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""ATM""]","OTH",2008
"""2008-02-20T00:00:00.000Z""","PRT","2 NM S of villamoura, Algarve","KAMOV KA32","CS-HMN","",,"PRT","Manoeuvring","Serious incident",0,true,true,"","None","KA27",true,false,2,"Turboprop","","[""OTHR""]","OTH",2008
"""2008-02-21T00:00:00.000Z""","VEN","Aeropuerto San Tome Anzoátegui","","YV1365","","","VEN","Landing","Significant incident",0,true,true,true,"Minor","IA50",false,true,2,"Turboprop","","[""SCF-PP""]","SCF",2008
"""2008-02-21T00:00:00.000Z""","LKA","Colombo","FAIRCHILD","4R-MRA","Sri Lanka Expo Aviation (Pvt)ltd","LKA","LKA","En route","Incident",0,true,true,true,"None","SW3",false,true,2,"Turboprop","","[""F-NI"",""SCF-NP""]","SCF",2008
"""2008-02-22T00:00:00.000Z""","GBR","North Sea","AEROSPATIALE AS332","G-REDM","United Kingdom Bond Offshore Helicopters Ltd","","GBR","En route","Incident",0,true,true,false,"None","S65C",true,false,2,"Turboprop","","[""WSTRW""]","OTH",2008
"""2008-02-23T00:00:00.000Z""","THA","Bangkok, Suvanabhumi a/p","BOEING 747 400","B-16410","","","CHN","Standing","Serious incident",0,true,true,true,"","B37M",false,true,2,"Jet","","[""F-NI""]","F-NI",2008
"""2008-02-24T00:00:00.000Z""","NOR","Bodø","SIKORSKY S61 N","G-ATFM","United Kingdom British International Helicopters Ltd","GBR","GBR","Approach","Serious incident",0,true,true,true,"None","S39",false,true,1,"Piston","","[""CFIT"",""OTHR""]","CFIT",2008
"""2008-02-24T00:00:00.000Z""","USA","Las Vegas","BOEING 737 300","N648SW","",,"USA","En route","Serious incident",0,true,true,true,"Minor","B37M",false,true,2,"Jet","","[""SCF-NP"",""TURB""]","SCF",2008
"""2008-02-24T00:00:00.000Z""","AUS","Sydney Aerodrome, 234° M 65Km","BOEING 737 800","VH-VYK","Australia Qantas Airways Limited","AUS","AUS","En route","Serious incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""MAC""]","OTH",2008
"""2008-02-24T00:00:00.000Z""","RUS","Ufa Airport","YAKOVLEV YAK42","RA-42370","Russian Federation Vim Airlines","","RUS","Landing","Incident",0,true,true,false,"None","YK42",false,true,3,"Jet","","[""RE""]","RS",2008
"""2008-02-25T00:00:00.000Z""","AUS","Sydney Aerodrome, WSW M 275Km","BOEING 747 300","VH-EBY","Australia Qantas Airways Limited","AUS","AUS","En route","Serious incident",0,true,true,true,"None","C17",false,true,4,"Jet","","[""OTHR""]","OTH",2008
"""2008-02-25T00:00:00.000Z""","TUR","Turkish FIR","AIRBUS A320","G-TTOD","United Kingdom Gb Airways Ltd.","GBR","GBR","En route","Serious incident",1,true,true,true,"Fatal","A320",false,true,2,"Jet","","[""OTHR""]","OTH",2008
"""2008-02-25T00:00:00.000Z""","JPN","Nagoya","BOEING 777 200","9V-???","Singapore Singapore Airlines Limited","SGP","SGP","Unknown","Incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""SCF-PP""]","SCF",2008
"""2008-02-25T00:00:00.000Z""","AUT","Vienna","DE HAVILLAND DHC8 400","OE-LGE","Austria Tyrolean Airways","AUT","AUT","Approach","Incident",0,true,true,true,"None","DHC1",false,true,1,"Piston","","[""SCF-NP""]","SCF",2008
"""2008-02-25T00:00:00.000Z""","USA","Jackson Hole, WY","AIRBUS A320","N442UA","United States United Air Lines Inc.","USA","USA","Landing","Incident",0,true,true,true,"None","A320",false,true,2,"Jet","","[""RE""]","RS",2008
"""2008-02-26T00:00:00.000Z""","NZL","near Christchurch Internationa","BOEING 767 300","VH-OGI","Australia Qantas Airways Limited","AUS","AUS","Approach","Serious incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""F-NI""]","F-NI",2008
"""2008-02-27T00:00:00.000Z""","PAN","A 90 NM de Tocumen Panama","BOEING 737 200","YV287T","",,"VEN","En route","Significant incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""SCF-PP""]","SCF",2008
"""2008-02-27T00:00:00.000Z""","BRA","Gaviao Peixoto","EMBRAER ERJ190","PP-XMI","","","BRA","Landing","Incident",0,true,true,"","None","E190",false,true,2,"Jet","","[""SCF-NP""]","SCF",2008
"""2008-02-27T00:00:00.000Z""","BHS","MYCI","DE HAVILLAND DHC8 300","C6-BFG","Bahamas Bahamasair Holdings Ltd.","BHS","BHS","Approach","Occurrence without safety effect",0,true,true,true,"None","HERN",false,true,4,"Piston","","[""OTHR""]","OTH",2008
"""2008-02-28T00:00:00.000Z""","GRC","thessaloniki a/p","AIRBUS A320","5B-DBA","Cyprus Cyprus Airways","CYP","CYP","Take-off","Incident",0,true,true,true,"None","A320",false,true,2,"Jet","","[""SCF-PP""]","SCF",2008
"""2008-03-01T00:00:00.000Z""","DEU","Hamburg-Fuhlsbüttel","AIRBUS A320","D-AIQP","Germany Deutsche Lufthansa Aktiengesellschaft","DEU","DEU","Landing","Serious incident",0,true,true,true,"None","A320",false,true,2,"Jet","","[""ARC"",""WSTRW""]","RS",2008
"""2008-03-01T00:00:00.000Z""","USA","Dallas","BOEING 737 300","N652SW","",,"USA","Taxi","Serious incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""RAMP""]","RS",2008
"""2008-03-01T00:00:00.000Z""","USA","Dallas","BOEING 737","N741SA","",,"USA","Taxi","Serious incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""RAMP""]","RS",2008
"""2008-03-02T00:00:00.000Z""","VEN","AEROPUERTO MAIQUETÍA (SVMI)","BOEING 737 200","YV287T","","","VEN","Landing","Significant incident",0,true,true,true,"Minor","B37M",false,true,2,"Jet","","[""ARC""]","RS",2008
"""2008-03-03T00:00:00.000Z""","PER","Cusco, Velasco Astete a/p","BOEING 737 200","OB-1843-P","Peru Aerocondor S.A.","PER","PER","Take-off","Incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""SCF-PP""]","SCF",2008
"""2008-03-04T00:00:00.000Z""","","HEATHER MOUNTAIN, BRITISH COLU","AEROSPATIALE","C-FQNS","Canada Canadian Helicopters","","CAN","Approach","Serious incident",0,true,true,"","None","S601",false,true,2,"Jet","","[""UNK""]","UNK",2008
"""2008-03-04T00:00:00.000Z""","BHS","MYES","PIPER PA23 250","C6-BIZ","Bahamas Other","","BHS","Landing","Incident",0,false,false,"","Unknown","PA47",false,true,1,"Jet","","[""OTHR""]","OTH",2008
"""2008-03-04T00:00:00.000Z""","","Toronto, ON","EMBRAER ERJ190","C-FHOS","Canada Air Canada","CAN","CAN","En route","Serious incident",0,true,true,true,"Minor","E190",false,true,2,"Jet","","[""TURB""]","TURB",2008
"""2008-03-04T00:00:00.000Z""","AUS","Williamtown Aerodrome, N M 63K","PIPER PA31P 350","VH-IGW","","","AUS","Manoeuvring","Incident",0,true,false,false,"None","PA47",false,true,1,"Jet","","[""MAC""]","OTH",2008
"""2008-03-05T00:00:00.000Z""","","Quebec","AIRBUS A310","C-GPAT","","","CAN","Taxi","Incident",0,true,true,true,"None","A310",false,true,2,"Jet","","[""WSTRW""]","OTH",2008
"""2008-03-06T00:00:00.000Z""","BHS","MYNN","DE HAVILLAND DHC8 300","C6-BFI","Bahamas Bahamasair Holdings Ltd.","BHS","BHS","En route","Incident",0,true,true,true,"None","VNOM",false,true,1,"Jet","","[""OTHR""]","OTH",2008
"""2008-03-08T00:00:00.000Z""","","Winnipeg, Manitoba","EMBRAER ERJ190","C-FHJU","Canada Air Canada","CAN","CAN","En route","Incident",0,true,true,true,"None","E190",false,true,2,"Jet","","[""SCF-NP""]","SCF",2008
"""2008-03-09T00:00:00.000Z""","KOR","Gimpo International Airport","AIRBUS A300 600","HL7242","Korea, South Korean Air Lines Co., Ltd.","KOR","KOR","Landing","Incident",0,true,true,true,"None","A345",false,true,4,"Jet","","[""ARC""]","RS",2008
"""2008-03-10T00:00:00.000Z""","POL","4 NM from Katowice-Pyrzowice","BOEING 737 800","EI-DPO","Ireland Ryanair","IRL","IRL","Approach","Incident",0,true,true,true,"None","B37M",false,true,2,"Jet","","[""OTHR""]","OTH",2008
"""2008-03-11T00:00:00.000Z""",,"Calgary, ALberta","DE HAVILLAND DHC8 300","C-GVON","",,"CAN","Landing","Incident",0,true,true,true,"None","VNOM",false,true,1,"Jet","","[""UNK"",""LOC-I""]","LOC-I",2008
"""2008-03-11T00:00:00.000Z""","","Saskatchewan","BAE JETSTREAM3100","C-GHGK","","","CAN","Take-off","Incident",0,true,true,true,"None","JS32",false,true,2,"Turboprop","","[""SCF-NP""]","SCF",2008
